מזהה כונן,קטגוריה,final score,זמינות,מיקום כונן
0298 מרדכי ,אחר,14.574226104236793,לא זמין,
0300 יוסי ,אחר,24.450813068250564,זמין,"30.994089699737135,35.137086091640306"
0300 צביקה ,אחר,82.03411250909836,זמין,"30.58631725760618,35.81240883617947"
0304 קונסטנטין ,אחר,12.5780163830255,לא זמין,
0318 דניאל ,אחר,10.581806661814204,זמין,"30.5910067804295,35.313525622970694"
0332 אוריה ,אחר,10.182564717571946,לא זמין,
0333 דוד ,אחר,21.286895516555628,זמין,"30.759948005410266,34.479197997739796"
0335 מאור ,אחר,10.18256471757195,זמין,"31.851584403635098,34.597759818879375"
0336 שגב ,אחר,10.581806661814204,זמין,"33.06344579271429,35.417605243248026"
0340 רינו ,אחר,82.61260557800739,זמין,"29.818561964024628,35.322836937665066"
0354 דודי ,אחר,10.581806661814204,זמין,"29.76880783922419,35.240800151216966"
0355 משה ,אחר,8.585596940602912,לא זמין,
0357 רועי ,אחר,6.589387219391621,זמין,"30.201467037179583,35.64234914720304"
0358 יעקב ,אחר,14.574226104236793,לא זמין,
0358 תומר ,אחר,14.574226104236793,לא זמין,
0360 יונתן ,אחר,10.581806661814204,לא זמין,
0365 יוקי ,אחר,10.18256471757195,לא זמין,
0372 מוטי ,אחר,10.581806661814204,לא זמין,
0377 אוחנה ,אחר,29.76466439423048,לא זמין,
0381 ראובן ,אחר,5.790903330907102,לא זמין,
0395 אוריאל ,אחר,8.585596940602912,זמין,"29.930402709698615,34.22626499303249"
0399 אפריים ,אחר,72.5301175343703,לא זמין,
0402 דב ,אחר,10.18256471757195,זמין,"29.64562864057901,35.41401150263739"
0405 אדיר ,אחר,24.41867122314177,זמין,"32.395783082306274,34.86674271574066"
0407 יעקב ,אחר,44.51737192240618,לא זמין,
0409 יהונתן ,אחר,23.756790821808742,לא זמין,
0416 מוטי ,אחר,41.44089210374924,לא זמין,
0418 דניאל ,אחר,48.373187877677296,לא זמין,
0421 דביר ,אחר,24.450813068250564,זמין,"33.13278041693313,35.43293223186844"
0428 מיכאל ,אחר,13.775742215752278,זמין,"30.453144134628957,34.57522827369237"
0430 יובל ,אחר,12.5780163830255,זמין,"32.10767832847831,35.151354022038454"
0430 נדב ,אחר,17.368919713932602,זמין,"31.0188751608694,34.3831838805958"
0432 חיים ,אחר,10.981048606056463,זמין,"32.03114348687641,34.41346889014283"
0436 ברוס ,אחר,14.574226104236793,לא זמין,
0438 יבגני ,אחר,14.174984159994532,לא זמין,
0438 שניאור ,אחר,19.764371379386155,לא זמין,
0441 יעקב ,אחר,10.581806661814204,לא זמין,
0443 יצחק ,אחר,5.790903330907102,לא זמין,
0448 נחמיה ,אחר,42.5617059410096,לא זמין,
0452 אייל ,אחר,5.790903330907102,זמין,"31.419419543698066,34.951460000228934"
0454 נדב	 ,אחר,21.919679026894617,זמין,"32.71066806280769,34.513300223848134"
0454 תומר ,אחר,45.096083053002005,לא זמין,
0458 יוסי ,אחר,14.574226104236793,לא זמין,
0467 דוד ,אחר,24.450813068250564,לא זמין,
0474 נתנאל ,אחר,10.18256471757195,לא זמין,
0477 אלון ,אחר,25.083596578589543,זמין,"33.233901912275584,34.20138903141354"
0486 ניסים ,אחר,10.581806661814204,זמין,"31.942927107403342,34.66395594847633"
0490 אוהד ,אחר,14.574226104236793,זמין,"32.44165130563816,34.53246413154728"
0491 רחמים ,אחר,35.06967651917373,לא זמין,
0497 שי ,אחר,18.755761475199684,לא זמין,
0498 דניאל ,אחר,40.92946104199291,זמין,"32.65612239044586,35.126821915986085"
0498 נחמיה ,אחר,10.52957584079286,לא זמין,
0506 אור ,אחר,8.186354996360656,לא זמין,
0513 משה ,אחר,10.18256471757195,לא זמין,
0515 בן ,אחר,38.92138225116621,זמין,"33.16902174061111,34.230702631665494"
0516 אבי ,אחר,18.1229779648607,לא זמין,
0524 	אביב		 ,אחר,16.570435825448087,זמין,"31.11343893216944,35.128503146269225"
0524 מיכל ,אחר,39.72646859149908,לא זמין,
0530 ‫נריה ,אחר,14.174984159994532,זמין,"32.6251645242178,35.09027688376897"
0537 מרדכי ,אחר,14.574226104236793,זמין,"30.51379428608647,35.0242448695483"
0540 קרין ,אחר,10.581806661814204,זמין,"30.07029626169628,34.80640729349093"
0543 דוד ,אחר,29.98073774510309,זמין,"33.01577282339777,34.86527301168226"
0545 גיא ,אחר,31.74162970665391,זמין,"32.69739660716255,35.89421317961696"
0547 נווה ,אחר,20.56285526787067,זמין,"30.645615632104878,34.67213246865079"
0551 ישי ,אחר,7.387871107876136,לא זמין,
0557 אייל ,אחר,43.3196460896794,לא זמין,
0565 מאיר ,אחר,8.585596940602912,לא זמין,
0566 אריאל ,אחר,10.581806661814204,זמין,"29.53124989148572,34.95600765179334"
0568 משה ,אחר,14.174984159994532,זמין,"31.13516262381887,35.43136113323613"
0569 גל ,אחר,14.973468048479049,לא זמין,
0574 יאיר ,אחר,38.32383752804509,לא זמין,
0580 חיים ,אחר,7.387871107876136,זמין,"29.900790270941844,35.656543129872574"
0583 אליעזר ,אחר,14.541360009500789,לא זמין,
0585 דוד ,אחר,13.693493392487794,לא זמין,
0585 יוסי ,אחר,27.749210264231326,זמין,"30.865923103211337,35.37874650750124"
0587 משה ,אחר,63.49079299945004,לא זמין,
0591 אביתר ,אחר,12.5780163830255,לא זמין,
0591 נתי ,אחר,12.5780163830255,לא זמין,
0597 אבי ,אחר,10.18256471757195,זמין,"32.73917647352411,34.36186131529111"
0599 אריאל ,אחר,8.186354996360656,זמין,"32.73954645728375,35.073518122579564"
0602 יקיר ,אחר,61.61265150869987,לא זמין,
0605 נפתלי ,אחר,9.384080829087427,לא זמין,
0610 אייל ,אחר,13.060709882148808,לא זמין,
0617 אבישי ,אחר,6.190145275149363,לא זמין,
0621 אשר ,אחר,61.01537156039284,זמין,"32.23749965952812,34.29167968011778"
0626 פנחס ,אחר,10.18256471757195,לא זמין,
0632 ישראל ,אחר,6.190145275149363,זמין,"29.681691691102802,34.572218883012916"
0650 סעיד ,אחר,5.790903330907102,לא זמין,
0653 רונן ,אחר,25.083596578589543,לא זמין,
0658 יהודה ,אחר,66.79909549329949,לא זמין,
0659 גד ,אחר,13.693493392487794,זמין,"33.246189341182635,34.98766607396686"
0661 יוסי ,אחר,14.174984159994532,זמין,"33.251840845718455,34.67877843946814"
0667 תום ,אחר,8.585596940602912,לא זמין,
0668 שמואל ,אחר,57.141671701100506,לא זמין,
0680 שילה ,אחר,21.361339156355186,לא זמין,
0704 ירון ,אחר,33.688782093077315,לא זמין,
0720 אירית ,אחר,25.083596578589543,זמין,"30.01269195873256,35.35080335395866"
0720 טויטו ,אחר,10.581806661814204,לא זמין,
0720 יצחק ,אחר,18.755761475199684,זמין,"33.25665156962475,35.21661267266221"
0726 אלרועי ,אחר,27.749210264231326,זמין,"32.33581295722732,35.470953553379346"
0729 יורם ,אחר,24.450813068250564,לא זמין,
0730 יונתן ,אחר,20.02132849587765,זמין,"32.47506619544953,35.290778505976505"
0732 דאיה ,אחר,9.783322773329688,זמין,"32.34434419111391,34.33663745092481"
0734 נחמן ,אחר,13.775742215752278,לא זמין,
0739 אלעד ,אחר,24.450813068250564,לא זמין,
0747 אפרים ,אחר,10.18256471757195,זמין,"31.818179153767808,34.929176539867534"
0751 אברהם ,אחר,14.174984159994532,לא זמין,
0752 שלו ,אחר,14.959060413165767,לא זמין,
0758 ישראל ,אחר,14.574226104236793,זמין,"32.39872646215475,35.544809840181564"
0762 רועי ,אחר,64.44637219203116,לא זמין,
0770 גבריאל ,אחר,21.286895516555628,זמין,"31.403184642291922,34.23079786701823"
0780 אליעזר ,אחר,13.693493392487794,לא זמין,
0783 משה ,אחר,21.919679026894617,זמין,"31.071499027618856,34.25142121989201"
0784 יחיאל ,אחר,18.755761475199684,לא זמין,
0795 פבלוב ,אחר,19.764371379386155,לא זמין,
0796 עדי ,אחר,9.783322773329688,לא זמין,
0804 שמואל ,אחר,30.77864817164044,זמין,"32.64020167633586,34.57421287797158"
0821 ראובן ,אחר,29.05372665810955,זמין,"30.760436996410558,34.84258348399724"
0824 דביר ,אחר,5.391661386664844,זמין,"31.750427866902566,34.393791392369806"
0826 יואב ,אחר,42.01745861490995,זמין,"32.65256167825589,34.55375860468438"
0827 אהרן ,אחר,38.04284477527211,לא זמין,
0831 שרון ,אחר,76.12823949438881,לא זמין,
0833 יוסף ,אחר,8.186354996360656,זמין,"31.232241219872353,35.32254056715224"
0833 שמעוני ,אחר,10.18256471757195,זמין,"30.56036418827196,35.54843674023993"
0847 משה ,אחר,10.18256471757195,לא זמין,
0854 נתנאל ,אחר,9.384080829087427,לא זמין,
0855 דויד ,אחר,44.51737192240618,לא זמין,
0878 דודי ,אחר,21.361339156355186,לא זמין,
0884 יוני ,אחר,10.18256471757195,לא זמין,
0890 אמנון ,אחר,10.18256471757195,לא זמין,
0903 ישי ,אחר,13.693493392487794,זמין,"31.174686813109506,35.74550097976217"
0904 יהודה ,אחר,28.601127705353758,זמין,"31.399973887289622,35.75741491906647"
0905 אוראל ,אחר,43.0271947065886,לא זמין,
0912 שלמה ,אחר,10.18256471757195,זמין,"30.133186923998245,35.46478774803761"
0914 חיים ,אחר,3.79469360969581,זמין,"30.717298709665606,35.7285224975826"
0920 ישעיה ,אחר,17.368919713932602,לא זמין,
0926 אלעד ,אחר,14.574226104236793,זמין,"31.326981289829945,35.30848747313875"
0930 ישראל ,אחר,40.90318433706422,לא זמין,
0932 מתניה ,אחר,12.17877443878324,זמין,"30.177392048933406,34.69972608527385"
0933 ישראל ,אחר,39.72646859149908,לא זמין,
0937 קטיה ,אחר,1.7984838884845171,זמין,"31.144606693946088,34.69409965191055"
0940 אריאל ,אחר,9.384080829087427,זמין,"30.128402909729598,35.424181669384744"
0945 ישראל ,אחר,14.574226104236793,זמין,"33.18167480483837,34.43679774698832"
0946 ישי ,אחר,10.581806661814204,זמין,"30.423761882744387,34.7243445779215"
0959 אדיר ,אחר,10.581806661814204,זמין,"30.936249568516764,34.84269188711692"
0960 מנחם ,אחר,14.174984159994532,לא זמין,
0960 משה ,אחר,25.34568231013533,לא זמין,
0965 מאור ,אחר,28.54769415271584,לא זמין,
0977 נחום ,אחר,24.450813068250564,לא זמין,
0980 פריווה ,אחר,10.18256471757195,לא זמין,
0981 אביאל ,אחר,21.361339156355186,לא זמין,
0984 יצחק ,אחר,10.18256471757195,זמין,"30.738764245138174,35.521786407301825"
0985 אבי ,אחר,14.174984159994532,לא זמין,
0991 בצלאל ,אחר,10.581806661814204,לא זמין,
0993 חיים ,אחר,18.1229779648607,זמין,"30.16743336423753,34.29587066364367"
1005 אלון ,אחר,18.1229779648607,לא זמין,
1008 ארז ,אחר,24.450813068250564,זמין,"31.316702595529584,34.76691274758896"
1009 שילה ,אחר,8.585596940602912,לא זמין,
1010 אדם ,אחר,14.174984159994532,זמין,"32.12974916136343,35.00818239228157"
1010 אריאל ,אחר,37.88935679658496,לא זמין,
1012 כפיר ,אחר,18.755761475199684,זמין,"32.64041263523937,35.11734935853994"
1019 אחיה ,אחר,11.795142861470833,זמין,"32.617556337166555,35.00809888248646"
1020 ניסן ,אחר,10.581806661814204,לא זמין,
1031 אברהם ,אחר,73.93581517984461,לא זמין,
1038 ישראל ,אחר,5.391661386664844,לא זמין,
1044 עקיבא ,אחר,21.286895516555628,לא זמין,
1051 אבי ,אחר,10.581806661814204,זמין,"32.31783497058551,35.17360946882549"
1055 ציון ,אחר,11.795142861470833,זמין,"32.73795214528739,35.76331956077739"
1065 שי ,אחר,30.958756185099254,לא זמין,
1072 ישראל ,אחר,40.92946104199291,זמין,"30.363041678065176,34.98105999453496"
1077 אופק ,אחר,14.574226104236793,זמין,"31.641864925706205,34.6161201457776"
1080 ידידיה ,אחר,10.581806661814204,לא זמין,
1088 עדיאל ,אחר,10.581806661814204,לא זמין,
1091 אלי ,אחר,10.581806661814204,זמין,"31.161544407514615,34.48238735647673"
1100 הלל ,אחר,28.54769415271584,זמין,"33.27499076765109,34.52190528756108"
1101 אייל ,אחר,10.581806661814204,זמין,"31.44071816589726,35.64764666002393"
1110 יוסף ,אחר,25.083596578589543,זמין,"31.1957548173485,35.71750105585044"
1114 אריאל ,אחר,14.174984159994532,לא זמין,
1121 אלדד ,אחר,14.174984159994532,זמין,"30.187246057086192,34.62848862779851"
1125 רחל ,אחר,25.71638008892853,זמין,"31.84999686485602,34.90393059691698"
1127 יהודית ,אחר,17.368919713932602,לא זמין,
1132 עקיבא ,אחר,28.54769415271584,לא זמין,
1133 עידן ,אחר,10.18256471757195,לא זמין,
1142 ידידיה ,אחר,8.585596940602912,לא זמין,
1146 אלי ,אחר,53.55885454384396,זמין,"30.577212627550637,34.73431807247311"
1150 שמואל ,אחר,24.450813068250564,זמין,"32.92859423091531,35.72020080463648"
1151 זיו ,אחר,10.18256471757195,זמין,"32.99264837269085,34.54890219328455"
1153 טדסה ,אחר,18.1229779648607,לא זמין,
1155 יוסף ,אחר,31.74162970665391,לא זמין,
1161 עדן ,אחר,14.174984159994532,זמין,"30.066301605513445,35.34751962555231"
1167 יניב ,אחר,14.959060413165767,זמין,"31.63320669507316,35.75562208746665"
1168 יעקב ,אחר,10.581806661814204,לא זמין,
1177 משה ,אחר,68.91520339883238,לא זמין,
1183 שמואל ,אחר,21.919679026894617,לא זמין,
1185 אשר ,אחר,20.71062687516756,לא זמין,
1188 אוריאל ,אחר,9.384080829087427,לא זמין,
1191 סאלי ,אחר,5.391661386664844,לא זמין,
1213 אורי ,אחר,5.391661386664844,לא זמין,
1213 ישראל ,אחר,24.41867122314177,לא זמין,
1214 חננאל ,אחר,30.90774883209665,זמין,"31.374348281870073,35.82106971087264"
1214 ניר ,אחר,14.174984159994532,לא זמין,
1214 צבי ,אחר,14.574226104236793,זמין,"30.700646173060104,35.18220564708197"
1221 מנחם ,אחר,8.186354996360656,לא זמין,
1232 שלמה ,אחר,10.18256471757195,זמין,"30.31740717442164,35.235831577354695"
1234 עידו ,אחר,14.174984159994532,לא זמין,
1234 תומר ,אחר,14.574226104236793,זמין,"31.351103304045658,34.21964164644699"
1242 אברהם ,אחר,37.88935679658496,לא זמין,
1245 יהודה ,אחר,24.555274710293254,זמין,"30.324623809387052,35.68694921670007"
1253 ראובן ,אחר,14.174984159994532,לא זמין,
1260 יהונתן ,אחר,26.551484431504548,לא זמין,
1263 יעקב ,אחר,10.18256471757195,לא זמין,
1264 ניתאי ,אחר,8.186354996360656,לא זמין,
1264 נתי ,אחר,14.574226104236793,זמין,"29.808912658550465,35.41179061381386"
1268 נתן ,אחר,49.3082752533133,לא זמין,
1273 נתנאל ,אחר,13.376500271510016,זמין,"30.814007003168328,34.211577402096935"
1278 משה ,אחר,5.391661386664844,זמין,"31.93604409981935,35.13382407623699"
1279 עוז ,אחר,10.18256471757195,זמין,"32.496841880809306,35.7053623265917"
1286 אושר ,אחר,29.05372665810955,לא זמין,
1297 נפתלי ,אחר,10.581806661814204,זמין,"31.6890496194871,34.68269725859064"
1307 אפיק ,אחר,14.973468048479049,זמין,"32.23179544336967,35.6780021716869"
1311 יניב ,אחר,10.18256471757195,זמין,"30.742231664362837,35.33294219835317"
1317 אלי ,אחר,10.581806661814204,זמין,"32.59366291268094,34.571286920261066"
1344 יום ,אחר,10.581806661814204,זמין,"32.32534815313114,35.80310445026214"
1350 יעקב ,אחר,79.17037497983478,זמין,"29.94437776945567,34.65549277587321"
1354 ליעד ,אחר,58.012191401376725,זמין,"31.019779568092805,35.188464401216024"
1355 יוחאי ,אחר,8.984838884845171,לא זמין,
1371 בנימין ,אחר,14.174984159994532,זמין,"32.755509140147176,34.88509256874802"
1374 שלמה ,אחר,38.5287427587723,זמין,"32.474370028339386,35.13283489185193"
1376 כהן ,אחר,48.31631478010254,לא זמין,
1376 פנחס ,אחר,18.1229779648607,זמין,"30.147320471432185,35.19584432968516"
1401 ידידיה ,אחר,14.174984159994532,זמין,"31.517255303776665,35.35123813255393"
1402 אבי ,אחר,10.18256471757195,לא זמין,
1406 יאיר ,אחר,14.174984159994532,זמין,"29.54216666089906,34.30955201243984"
1418 פלג ,אחר,10.18256471757195,לא זמין,
1419 אלחנן ,אחר,14.574226104236793,לא זמין,
1426 יוסי ,אחר,12.5780163830255,לא זמין,
1435 מיכאל ,אחר,8.585596940602912,זמין,"32.96733245674817,35.48902098203675"
1442 דן ,אחר,14.574226104236793,לא זמין,
1443 אילון ,אחר,25.083596578589543,זמין,"31.83044152514266,34.452493025524404"
1443 שי ,אחר,10.581806661814204,זמין,"30.082175094875023,34.27334865169138"
1447 גל ,אחר,42.01745861490995,זמין,"32.27789025405241,35.213131927749174"
1447 זאבי ,אחר,41.7009416753528,לא זמין,
1456 נאור ,אחר,25.083596578589543,לא זמין,
1456 נועם ,אחר,37.39682644105153,לא זמין,
1470 אברהם ,אחר,51.20114951997408,זמין,"32.74220917399866,34.40366221970041"
1474 צביקה ,אחר,56.28972501894674,לא זמין,
1483 מוטי ,אחר,5.391661386664844,לא זמין,
1488 שרון ,אחר,14.574226104236793,לא זמין,
1496 אביאל ,אחר,49.65845986276768,זמין,"30.095287653210413,34.76288351575498"
1501 איתן ,אחר,31.34238776241165,זמין,"32.73155085352262,34.37827333789976"
1508 שלמה ,אחר,14.574226104236793,זמין,"29.923746109308656,35.54136989264454"
1520 עידו ,אחר,10.581806661814204,זמין,"31.486626846038604,34.23563484473925"
1521 רועי ,אחר,17.368919713932602,לא זמין,
1523 יחיאל ,אחר,24.555274710293254,לא זמין,
1524 נתן ,אחר,14.574226104236793,לא זמין,
1530 יהודית ,אחר,14.574226104236793,לא זמין,
1532 מוטי ,אחר,23.756790821808742,לא זמין,
1539 אליהו ,אחר,12.5780163830255,זמין,"32.108924647196844,34.23113986783135"
1539 מנחם ,אחר,14.174984159994532,זמין,"32.03831863771085,34.69106113161212"
1546 מאיר ,אחר,32.54011359513844,זמין,"31.369731349427887,34.67467969022782"
1551 שרון ,אחר,10.18256471757195,זמין,"31.511681252816544,35.64244754736225"
1556 מאור ,אחר,19.764371379386155,לא זמין,
1557 גרשון ,אחר,36.39592955040954,לא זמין,
1561 דוד ,אחר,10.18256471757195,לא זמין,
1561 מיכאל ,אחר,14.174984159994532,לא זמין,
1563 רחל ,אחר,25.083596578589543,זמין,"32.33101471998825,34.80966246613466"
1575 אליעזר ,אחר,52.09248341313342,לא זמין,
1584 אפרים ,אחר,14.174984159994532,זמין,"33.16495888487337,34.973185557946515"
1584 נדב ,אחר,10.581806661814204,לא זמין,
1595 דניאל ,אחר,63.902642656979936,זמין,"32.76800920054777,35.14359185890998"
1599 יואב ,אחר,14.574226104236793,זמין,"31.83754925401296,35.27337971360476"
1599 מנחם ,אחר,19.38854498553867,זמין,"30.737105725266904,34.87255672063415"
1604 הדר ,אחר,10.581806661814204,זמין,"32.70430094785718,34.6479953065996"
1613 טל ,אחר,14.174984159994532,לא זמין,
1616 מאיר ,אחר,23.441000432447527,לא זמין,
1619 ארז ,אחר,10.581806661814204,לא זמין,
1622 אריה ,אחר,10.18256471757195,זמין,"32.992696960331834,35.787544849710216"
1631 יואב ,אחר,14.973468048479049,לא זמין,
1643 גיל ,אחר,18.1229779648607,לא זמין,
1647 יצחק ,אחר,17.368919713932602,לא זמין,
1650 אשר ,אחר,10.18256471757195,לא זמין,
1653 נחום ,אחר,25.083596578589543,זמין,"30.255176093334903,34.52100588400698"
1654 יעקב ,אחר,32.54011359513844,לא זמין,
1666 אביאל ,אחר,7.998441799436911,זמין,"29.519709111800235,34.67788408120907"
1666 ישראל ,אחר,3.3954516654535527,לא זמין,
1668 גיורא ,אחר,8.186354996360656,לא זמין,
1668 יאיר ,אחר,5.391661386664844,זמין,"30.416784872838093,35.11817776814601"
1672 אריאל ,אחר,5.391661386664844,לא זמין,
1672 דוד ,אחר,14.174984159994532,זמין,"30.308564550569436,35.045075553126956"
1674 שמעון ,אחר,66.43069060645544,זמין,"32.840003899591764,35.405648750150526"
1682 רן ,אחר,29.633153159935,זמין,"30.493353578328176,35.1944810805757"
1697 לירז ,אחר,12.5780163830255,זמין,"31.908158925550264,34.8520324831161"
1699 אהרון ,אחר,69.82871233596566,לא זמין,
1699 מרקו ,אחר,10.18256471757195,לא זמין,
1701 אופיר ,אחר,10.18256471757195,לא זמין,
1702 רפאל ,אחר,14.174984159994532,לא זמין,
1704 שלום ,אחר,24.450813068250564,לא זמין,
1716 איתי ,אחר,36.95763675470784,לא זמין,
1718 יצחק ,אחר,37.39682644105153,לא זמין,
1727 שניאור ,אחר,50.50600108604007,זמין,"30.345943223297265,35.19834578966842"
1739 עמיחי ,אחר,14.174984159994532,לא זמין,
1740 מרדכי ,אחר,60.70245600038081,לא זמין,
1746 שמואל ,אחר,10.581806661814204,לא זמין,
1754 אוריאל ,אחר,21.286895516555628,לא זמין,
1766 בן ,אחר,10.981048606056463,זמין,"32.140226923613966,34.66185168530364"
1787 חיים ,אחר,53.21184342062305,לא זמין,
1787 ידידיה ,אחר,14.973468048479049,לא זמין,
1788 יאיר ,אחר,33.737839427865204,לא זמין,
1788 שי ,אחר,21.286895516555628,זמין,"32.8697996409349,35.74027349683037"
